image,pose,smile,glasses,gender,eye_detected,mouth_detected,eye_nme,mouth_nme,combined_nme
7104_0_0.jpg,1,2,2,2,1,1,2.67843,2.39387,2.53615
712_0_0.jpg,1,1,2,2,1,1,1.92997,0.553306,1.24164
7305_0_0.jpg,1,1,2,2,0,0,-1,-1,-1
7328_1_0.jpg,1,1,2,2,1,1,1.28796,0.658203,0.973081
7400_0_0.jpg,1,1,1,1,1,0,2.30464,-1,2.30464
7651_0_0.jpg,1,2,2,1,0,0,-1,-1,-1
7819_0_0.jpg,1,2,1,2,0,0,-1,-1,-1
8101_0_0.jpg,1,1,2,2,1,1,2.15719,0.527046,1.34212
8297_0_0.jpg,1,2,2,1,1,1,1.35037,0.595946,0.97316
8435_0_0.jpg,1,2,2,1,1,1,2.05261,2.00255,2.02758
8526_1_0.jpg,1,1,2,2,1,0,1.6105,-1,1.6105
8829_1_0.jpg,1,1,2,1,0,0,-1,-1,-1
9037_0_0.jpg,1,2,2,2,1,1,1.82632,0.461375,1.14385
9112_1_0.jpg,1,1,2,2,1,1,2.02122,0.872159,1.44669
9207_0_0.jpg,1,1,1,1,1,1,1.26991,1.0695,1.16971
928_0_0.jpg,1,2,2,2,1,1,1.44321,0.713706,1.07846
9360_0_0.jpg,1,2,2,1,1,1,2.10731,2.07275,2.09003
_-20_1221_0.jpg,1,2,2,2,0,0,-1,-1,-1
_-20_1386_0.jpg,1,2,2,2,1,0,2.02166,-1,2.02166
_-40_1320_0.jpg,1,2,2,2,1,1,1.4596,0.606224,1.03291
_-40_1551_0.jpg,1,1,2,1,1,1,2.66838,2.30822,2.4883
_-40_1590_0.jpg,1,1,1,2,0,0,-1,-1,-1
_-40_1654_0.jpg,1,1,2,1,0,0,-1,-1,-1
_-40_1672_1.jpg,1,2,2,2,1,1,1.6337,1.1427,1.3882
_-40_1809_0.jpg,1,2,2,2,0,0,-1,-1,-1
_-40_181_0.jpg,1,2,2,2,1,1,1.98627,0.572598,1.27943
_-40_1871_0.jpg,1,1,2,2,0,0,-1,-1,-1
_-40_1999_0.jpg,1,1,2,2,1,0,2.99293,-1,2.99293
_-40_200_0.jpg,1,1,2,2,1,1,1.49932,0.835672,1.1675
_-40_2018_0.jpg,1,1,1,2,1,1,1.52455,1.02192,1.27323
_-40_2074_0.jpg,1,1,2,1,0,0,-1,-1,-1
_-40_2147_0.jpg,1,1,2,2,0,0,-1,-1,-1
_-40_2373_0.jpg,1,2,2,1,0,0,-1,-1,-1
_-40_2457_1.jpg,1,1,2,2,1,1,1.77529,2.46758,2.12143
_-40_2475_1.jpg,1,1,2,1,1,1,1.22756,1.73444,1.481
_-40_2510_1.jpg,1,1,2,1,1,1,1.21951,1.39571,1.30761
_-40_259_1.jpg,1,2,2,2,0,0,-1,-1,-1
_-40_2618_0.jpg,1,2,2,1,1,1,2.2484,0.910665,1.57953
_-40_2643_1.jpg,1,1,2,1,0,0,-1,-1,-1
_-40_267_0.jpg,1,2,2,1,1,1,0.670755,1.51637,1.09356
_-40_2745_0.jpg,1,1,2,2,1,1,1.80444,2.5278,2.16612
_-40_274_0.jpg,1,1,2,2,1,1,2.03663,2.87221,2.45442
_0_1247_0.jpg,1,1,2,2,1,1,1.11152,0.438205,0.774861
_-60_100_0.jpg,1,1,2,1,1,1,3.78454,4.52525,4.15489
_-60_1110_2.jpg,1,2,2,1,1,1,1.22116,0.64748,0.934322
_-60_1116_0.jpg,1,2,2,2,0,0,-1,-1,-1
_-60_1204_1.jpg,1,1,2,2,0,0,-1,-1,-1
_-60_1297_0.jpg,1,1,2,1,1,1,1.71404,0.4,1.05702
_-60_1345_0.jpg,1,1,2,1,1,1,2.45688,3.43789,2.94738
_-60_1593_0.jpg,1,1,1,2,0,0,-1,-1,-1
_-60_1701_0.jpg,1,1,2,2,0,0,-1,-1,-1
_-60_1736_0.jpg,1,1,2,1,0,0,-1,-1,-1
_-60_17_0.jpg,1,2,2,2,0,0,-1,-1,-1
_-60_1891_0.jpg,1,2,2,1,0,0,-1,-1,-1
_-60_2111_0.jpg,1,2,2,1,0,0,-1,-1,-1
_-60_2150_0.jpg,1,2,2,2,0,0,-1,-1,-1
_-60_2214_0.jpg,1,2,2,2,1,1,1.98636,4.60511,3.29574
_-60_2242_0.jpg,1,2,1,1,0,0,-1,-1,-1
_-60_2318_1.jpg,1,2,2,1,1,0,1.60109,-1,1.60109
_-60_2389_0.jpg,1,1,2,2,0,0,-1,-1,-1
_-60_2566_0.jpg,1,2,2,2,0,0,-1,-1,-1
_-60_2706_1.jpg,1,1,2,2,1,1,1.51113,0.775045,1.14308
_-60_3053_0.jpg,1,2,2,2,1,1,1.64732,4.97139,3.30936
_-60_3173_0.jpg,1,1,2,2,0,0,-1,-1,-1
_-60_3206_0.jpg,1,2,1,1,1,1,2.39921,2.53784,2.46852
_-60_3368_0.jpg,1,1,2,1,0,0,-1,-1,-1
_-60_3439_0.jpg,1,1,1,1,0,0,-1,-1,-1
_-60_348_1.jpg,1,1,2,1,0,0,-1,-1,-1
_-60_3516_0.jpg,1,1,2,2,1,1,1.67278,0.93079,1.30179
_-60_3530_0.jpg,1,2,2,1,1,1,1.7975,0.744588,1.27105
_-60_3532_0.jpg,1,2,2,2,0,0,-1,-1,-1
_-60_3570_1.jpg,1,2,2,1,1,1,1.2906,0.485071,0.887836
_-60_3642_0.jpg,1,1,2,2,1,1,1.20217,0.667947,0.935059
_-60_364_0.jpg,1,2,2,2,1,1,2.25433,3.86981,3.06207
_-60_3902_0.jpg,1,1,2,1,0,0,-1,-1,-1
_-60_3992_0.jpg,1,2,2,2,0,0,-1,-1,-1
_-60_4233_0.jpg,1,1,2,2,0,0,-1,-1,-1
_-60_4297_0.jpg,1,2,2,2,0,0,-1,-1,-1
_-60_4434_0.jpg,1,1,1,1,0,0,-1,-1,-1
_-60_4925_0.jpg,1,2,2,1,1,1,2.4116,1.91201,2.1618
_-60_4928_0.jpg,1,1,2,2,1,1,2.33713,4.03758,3.18735
_-60_5370_0.jpg,1,1,2,2,0,0,-1,-1,-1
_-60_5504_0.jpg,1,1,2,2,0,0,-1,-1,-1
_-60_5734_0.jpg,1,1,1,1,1,0,1.76559,-1,1.76559
_-60_6360_0.jpg,1,1,2,1,0,0,-1,-1,-1
_-60_647_0.jpg,1,2,1,2,1,1,1.37849,2.20111,1.7898
_-60_6605_0.jpg,1,1,1,2,0,0,-1,-1,-1
_-60_6608_0.jpg,1,1,2,2,1,0,2.37061,-1,2.37061
_-60_6732_0.jpg,1,1,1,2,0,0,-1,-1,-1
_-60_6795_0.jpg,1,2,1,1,0,0,-1,-1,-1
_-60_7115_0.jpg,1,2,2,1,0,0,-1,-1,-1
_-60_7278_0.jpg,1,1,2,1,1,1,1.9365,0.501072,1.21879
_-60_7318_0.jpg,1,2,2,1,0,0,-1,-1,-1
_-60_757_0.jpg,1,2,2,1,1,1,2.03188,1.74159,1.88673
_-60_8341_1.jpg,1,2,2,1,1,1,0.675733,0.996921,0.836327
_-60_8701_0.jpg,1,2,2,2,0,0,-1,-1,-1
_-60_9134_0.jpg,1,1,2,2,0,0,-1,-1,-1
_-60_9279_0.jpg,1,2,2,1,1,1,1.38198,1.78065,1.58132
_-60_9566_1.jpg,1,2,2,2,1,1,2.63508,3.32761,2.98135
_-60_9607_0.jpg,1,1,2,2,1,1,1.50636,1.3425,1.42443
_-60_9915_0.jpg,1,2,2,1,1,1,1.83477,1.57369,1.70423
