image,pose,smile,glasses,gender,eye_detected,mouth_detected,eye_nme,mouth_nme,combined_nme
Cindy_Zagorski_0001.jpg,1,1,2,2,0,0,-1,-1,-1
Federico_Trillo_0001.jpg,1,2,2,1,0,0,-1,-1,-1
Hartmut_Mehdorn_0001.jpg,1,2,2,1,1,1,3.48893,2.26342,2.87617
John_Sununu_0001.jpg,1,2,1,1,0,0,-1,-1,-1
Margaret_Caruso_0001.jpg,1,1,2,2,0,0,-1,-1,-1
Michael_Linscott_0001.jpg,1,2,2,1,0,0,-1,-1,-1
Michelle_Pfeiffer_0001.jpg,1,1,2,2,1,1,2.25549,3.89279,3.07414
Randy_Brown_0001.jpg,1,2,2,1,1,1,2.11481,0.768273,1.44154
Tim_Conway_0001.jpg,1,1,2,1,1,1,1.33537,1.02262,1.17899
Victoria_Clarke_0001.jpg,1,2,2,2,1,1,8.94449,1.65565,5.30007
119_0_0.jpg,1,2,2,1,1,1,2.0928,1.95201,2.0224
1235_0_0.jpg,1,1,2,2,1,0,0.972735,-1,0.972735
1248_0_0.jpg,1,2,2,2,1,0,1.39832,-1,1.39832
1248_1_0.jpg,1,1,2,2,1,0,0.519947,-1,0.519947
127_1_0.jpg,1,2,2,1,0,0,-1,-1,-1
1327_0_0.jpg,1,2,2,2,0,0,-1,-1,-1
1330_0_0.jpg,1,1,2,2,1,1,0.884226,0.694472,0.789349
1359_0_0.jpg,1,2,2,2,1,1,2.75426,2.64794,2.7011
1368_1_0.jpg,1,1,2,2,1,1,1.92328,1.75412,1.8387
1780_0_0.jpg,1,1,2,1,1,1,1.92825,1.40331,1.66578
454_0_0.jpg,1,1,2,2,0,0,-1,-1,-1
48_0_0.jpg,1,1,2,1,0,0,-1,-1,-1
49_0_0.jpg,1,1,2,2,1,1,1.34592,1.12948,1.2377
5318_0_0.jpg,1,1,2,1,1,1,2.94639,0.751084,1.84874
5334_0_0.jpg,1,2,2,2,1,0,1.03845,-1,1.03845
5686_0_0.jpg,1,2,2,2,0,0,-1,-1,-1
5748_0_0.jpg,1,2,2,2,1,1,1.60486,0.600788,1.10282
6061_0_0.jpg,1,1,2,2,1,1,1.32452,0.63952,0.98202
6160_0_0.jpg,1,2,2,1,1,1,3.04553,1.79946,2.4225
6232_0_0.jpg,1,1,2,2,1,0,1.47731,-1,1.47731
6410_0_0.jpg,1,2,2,2,1,1,1.32547,0.573256,0.949363
6510_0_0.jpg,1,1,1,1,1,1,2.55355,1.94929,2.25142
6966_2_0.jpg,1,1,2,1,1,1,2.24636,0.701399,1.47388
7050_0_0.jpg,1,2,2,1,1,1,3.3202,0.759851,2.04003
7067_0_0.jpg,1,2,2,2,1,0,1.65102,-1,1.65102
